상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
[MADE] 시그니처 면일자 밴딩팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60878&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bm17W15H,"누적판매 10만장이상! 쫀쫀한 일자 슬림핏~
유행에 구애 받지 않는 만능팬츠!
(5color / S~XXL / 숏,기본,롱)",,37500,14800,61,8,"rgb(247, 247, 245);, rgb(189, 175, 157);, rgb(158, 108, 139);, rgb(112, 138, 148);, rgb(0, 0, 0);",MADFIT
[MADE] 더블 치즈 똥배커버 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59119&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=Z293U1g%3D,"하루종일 입는, 모두의 데일리 슬랙스차원이 다른 편안함!! 리뷰가 인정한 더블 치즈(3color / 기본, 롱 /S~XXL)",,42000,14800,65,6,"rgb(77, 66, 64);, rgb(69, 91, 99);, rgb(0, 0, 0);",MADFIT
[MADE] 시그니처 면일자 밴딩팬츠 JP05350,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58851&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bmp%2BW15B,"모두가 기다린 매드핏 밴딩팬츠
편안함에 스며들고 완벽한 핏에 반하는!6cm
(S~XXL / 4color / 숏,기본,롱)",,37000,14800,60,12,"rgb(242, 239, 235);, rgb(102, 91, 79);, rgb(92, 92, 94);, rgb(0, 0, 0);",MADFIT
[MADE] 에브리 더블업 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62524&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bWd3U1o%3D,"초베스트템 ""에브리 데님"" 기모버전 출시!
따뜻한 온기를 오래도록 유지시켜주는 발열안감
(S~XXL / 기본,롱)",,49500,39600,20,140,"rgb(53, 69, 82);",MADFIT
[MADE] 시그니처 데님일자 기모 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61198&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bWt3U1s%3D,"데님 밴딩팬츠 누적판매1위♡후기만족도1위
겨울 데일리용 슬림일자핏 청바지(기모안감)
(S~XXL / 3color / 숏,기본,롱)",,39800,19900,50,1,"rgb(0, 0, 0);, rgb(13, 26, 43);, rgb(31, 36, 40);",MADFIT
[MADE] 논페이드 포켓 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59970&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bGp3U1Q%3D,"물빠짐, 이염을 최소화 논페이드 원단!
늘씬한 라인 만들어주는 세미 와이드핏
시중에 많은 논페이드중에 원단퀄리티 최고
(S~XXL / 기본, 롱)",,46800,23400,50,108,"rgb(38, 40, 61);",MADFIT
[MADE] 모던 스트레이트 데님팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59892&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bGl3U1U%3D,"깔끔하고 세련된 스트레이트 핏!
세미룩부터 캐주얼룩까지 모두 가능~
(S~XXL / 2color / 기본,롱)",,43500,14800,66,217,"rgb(148, 170, 193);, rgb(77, 96, 143);",MADFIT
[MADE] 잘록허리 와이드 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61693&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bmt%2BW19E,"역대급 인스타 반응! 허리는 잘록~ 똥배는 쏘옥♥
없던 허리를 만들어주는 요술 아이템!
(S~XXL / 기본,롱)",,,,,97,"rgb(0, 0, 0);",MADFIT
[MADE] 가르송 테이퍼드핏 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62306&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bmx5W19F,"시즌마다 베스트셀러~! 이번시즌 NEW 컬러감으로
새롭게 돌아온 언제나 사랑받는 국민템♥
(2color / S~XXL)",,,,,176,"rgb(51, 63, 71);, rgb(54, 54, 54);",MADFIT
[MADE] 생투앙 톰보이 데님 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61603&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bmh8W19G,"이번 봄 꼭 소장하세요♥
트랜디한 톰보이핏. 빈티지한 감성으로 멋스럽게~
(S~XXL / 기본,롱)",,,,,30,"rgb(60, 73, 107);",MADFIT
[MADE] 치즈 와이드 팬츠 JP05478,https://www.joamom.co.kr/shop/shopdetail.html?branduid=59485&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=bml6W19H,"다리라인 커버되는 딱 적당한 와이드! 세탁&건조기까지 돌려도 실패없는 원단!(S~XXL / 4color / 기본,롱)",,,,,1,"rgb(184, 172, 158);, rgb(32, 31, 49);, rgb(148, 160, 174);, rgb(0, 0, 0);",MADFIT
[MADE] 치즈 와이드 팬츠 JP04889,https://www.joamom.co.kr/shop/shopdetail.html?branduid=56903&xcode=065&mcode=008&scode=&type=X&sort=manual&cur_code=065008&search=&GfDT=am53Ulg%3D,"구매후기가 말해주는 초초베스트템누적판매 2만장이상!! 가을컬러 깔별구매하세요(S~XXL / 4color / 기본, 롱)",,,,,1,"rgb(0, 0, 0);, rgb(207, 199, 167);, rgb(110, 66, 0);, rgb(34, 34, 66);",MADFIT
