상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
노아 기모 일자 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62556&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bGh3U10%3D,"기모 빵빵하고 신축성 좋은 일자 팬츠
가장 자주 입힐 일자핏에 히든 밴딩!
(2color / S~L)",,34500,24100,30,9,"rgb(255, 255, 255);, rgb(0, 0, 0);",일자핏
반밴딩 일자 기모 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62565&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bmV%2FUw%3D%3D,"깔끔하게 탁- 떨어지는 스탠다드핏!
어디에든 추천드리는 데일리 겨울 슬랙스 :)
(3color / S~L)",,31000,27900,10,4,"rgb(0, 0, 0);, rgb(242, 242, 240);, rgb(97, 95, 97);",일자핏
이든 기모 밴딩 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62545&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bm18W15H,"짱짱한 텐션으로 활동감 좋은 기모 소재
군살 커버 완벽!깔끔하게 정돈되는 핏!
한장 사입어보면 또 한장 더사는 겨울 교복팬츠
(S~XL / 기본(숏), 롱)",,41500,29000,30,200,"rgb(209, 198, 174);, rgb(41, 34, 24);, rgb(66, 66, 66);, rgb(0, 0, 0);",일자핏
에덴 레직기 코듀로이 밴딩 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62502&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bm93U1g%3D,"톡톡한 기모안감의 레직기 잡힌 디자인으로
차려입은 슬랙스 연출이 가능한 코듀로이 팬츠
(4color / S~XL)",,47000,32900,30,9,"rgb(250, 247, 250);, rgb(242, 196, 241);, rgb(138, 207, 112);, rgb(51, 41, 38);",일자핏
[MADE] 힐링 코듀로이 와이드 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62471&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=a2x3U1k%3D,"호불호 없는 세미 와이드핏 꼭꼭 입어보세요!
피치 기모로 부드러운 터치감에 안감 기모로 따뜻
(5color/S~XL/기본,롱)",,36500,25500,30,246,"rgb(222, 219, 211);, rgb(181, 91, 122);, rgb(138, 123, 102);, rgb(66, 48, 21);, rgb(51, 51, 51);",일자핏
앤디 버튼 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61561&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bmx7W15C,"과하지않은 세미 와이드핏에 부담없는 길이감!
부드럽고 스판좋은 원단으로 한겨울까지~
(S~L/2color)",,42000,37800,10,5,"rgb(242, 238, 233);, rgb(0, 0, 0);",일자핏
[MADE] 치즈 똥배커버 밍크 슬랙스,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61274&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bm5%2BW15D,"핫팩을 입은 듯 한 팬츠!보온성 두배세배 UP~
전혀 부해 보이지 않는 밍크 안감 슬랙스!
(2color / S~XXL / 기본,롱)",,45000,27000,40,622,"rgb(46, 48, 56);, rgb(0, 0, 0);",일자핏
[MADE] 시그니처 면일자 기모 밴딩팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61268&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bm16W15M,"더이상 재진행없는 면 시그니처라인!
겉기모+안감기모 따뜻하게 착용하세요 :)
(3color / S~XXL / 숏,기본,롱)",,38500,29800,23,36,"rgb(0, 0, 0);, rgb(250, 250, 250);, rgb(163, 153, 132);",일자핏
골지 기모 밴딩 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=57669&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bmx9W15N,"깔끔하게 떨어지는 일자 핏
기모안감으로 따뜻함까지 만족시켜주어요
(S~L / 3color)",,36000,32400,10,161,"rgb(0, 0, 0);, rgb(153, 153, 153);, rgb(183, 163, 139);",일자핏
심플 일자 코튼팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62280&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=bm16W19E,"깔끔한 아웃핏을 자랑하는 히든밴딩!
쫀쫀! 한 신축성으로 편안한 착용감의 팬츠:)
(4color / S~XL)",,,,,3,"rgb(255, 255, 255);, rgb(227, 224, 216);, rgb(135, 132, 128);, rgb(0, 0, 0);",일자핏
[MADE] 킨포크 린넨 9부 팬츠,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62013&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=aWp3Ul0%3D,"시원한 린넨원단이 깔끔하면서도
내추럴한 무드로 멋스럽게 착용될 일자핏 팬츠!
(4color / S~XL)",,,,,42,"rgb(38, 37, 48);, rgb(240, 235, 223);, rgb(222, 202, 222);, rgb(125, 112, 92);",일자핏
[MADE] 치즈 포켓 배기팬츠 23FW,https://www.joamom.co.kr/shop/shopdetail.html?branduid=60857&xcode=065&mcode=001&scode=&type=X&sort=manual&cur_code=065001&search=&GfDT=a253Ul4%3D,"도톰한 두께감과 쫀득쫀득 편안한 신축성으로
데일리하게 즐길 수 있는 배기핏 슬랙스!
new롱기장 추가 출시 (2color / S~XXL / 기본,롱)",,,,,70,"rgb(79, 84, 83);, rgb(0, 0, 0);",일자핏
