상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리
케이프 바람막이,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58298&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bmt3U1w%3D,"가벼운 원단으로 한여름까지 쭉-
라운딩뿐만 아니라 데일리룩으로도 굿!
(2color)",,,69800,,2,"rgb(255, 255, 255);, rgb(0, 0, 0);",점퍼
큐브 후드 야상 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62819&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=amh3U10%3D,"면안감 합포로 간절기 활용하기 좋은 아우터!
손쉽게 매치하기 좋은 세련된 세미 캐주얼 점퍼
(2color)",,,59800,,3,"rgb(191, 180, 155);, rgb(0, 0, 0);",점퍼
루미오 비조 하이넥 사파리,https://www.joamom.co.kr/shop/shopdetail.html?branduid=58053&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=aG13U14%3D,"고밀도 바이오 코튼, 핏감 잘 빠졌어요
데일리부터 멋스러운 세미룩으로도 굿
(3color)",,,84000,,54,"rgb(186, 175, 144);, rgb(61, 61, 61);",점퍼
썸머 루즈핏 후드 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61983&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bm97W15H,"라이트한 무게의 초경량 소재!
여름을 위한 가볍고 실용적인 점퍼★
(5color)",,,34500,,14,"rgb(255, 255, 255);, rgb(240, 235, 211);, rgb(245, 203, 226);, rgb(180, 217, 240);, rgb(0, 0, 0);",점퍼
[MADE] 윈디 바스락 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61892&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bmx9W15A,"트렌디하게 활용하기 좋은,
하이넥 디자인 바스락 점퍼 보여드려요
(2color)",,45000,22500,50,20,"rgb(255, 255, 255);, rgb(0, 0, 0);",점퍼
코코디 포켓 스트링 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61105&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bm9%2FW15B,"탄탄하게 밀도감 높은 바스락 소재로 지금 딱!
캐주얼하면서도 멋스럽게 입어주기 좋아요
(2color)",,74000,44500,40,0,"rgb(181, 164, 139);, rgb(0, 0, 0);",점퍼
모빈드 스트링 후드 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=57091&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bmt5W15C,"탄탄하고 사각사각한 원단감
면안감으로 부드럽고 톡톡한 아우터
(3color)",,,49800,,206,"rgb(192, 179, 160);, rgb(57, 67, 59);, rgb(0, 0, 0);",점퍼
퍼카라 더플 패딩 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62720&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bmt4W15D,"★한겨울 패딩이 3만원대★ 라니.. 말도 안되죠?
머플러가 필요없는 퍼카라로 찬바람 차단!
갓성비 아이템으로 쥔장 강력추천!
(3color)",,45000,38200,15,18,"rgb(250, 249, 247);, rgb(212, 200, 178);, rgb(0, 0, 0);",점퍼
숄카라 벨티드 덕다운 패딩,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62683&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bmt4W15M,"세련된 무드 가득한 오리털 100% 하프 패딩
그냥 툭- 걸쳐입기 좋은 멋스러운 숄카라 디자인
(2color)",,,89500,,0,"rgb(227, 223, 209);, rgb(0, 0, 0);",점퍼
바엔 시보리 물결 패딩,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62656&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=b2V%2FWA%3D%3D,"화사한 컬러감으로 데일리하게 입기 좋은 3온스 패딩
가성비 좋은 착한 가격으로 부담 덜어드릴 겨울 아우터!
(3color)",,,32500,,2,"rgb(242, 237, 218);, rgb(242, 220, 242);, rgb(0, 0, 0);",점퍼
다이아 후드 덕다운 롱 패딩,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62550&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=Zmh3Ulw%3D,"부해보임 없는 다이아퀼팅으로 세련된 디자인
덕다운 100%로 가벼운 무게감에 입은 즉시 훈훈해요
(2color)",,,142500,,1,"rgb(168, 152, 130);, rgb(0, 0, 0);",점퍼
캠프 덕다운 패딩 아노락,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62533&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bmd3Ul0%3D,"덕다운 100%★ 인스타 문의폭주
나혼자 입으려 바잉한건데 특별히 특가로 함께!
가볍고 따뜻하게 입어요:)
(3color)",,79000,59000,25,12,"rgb(250, 195, 227);, rgb(247, 245, 235);, rgb(0, 0, 0);",점퍼
몽 폭스퍼 후드 패딩 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62526&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bWh3Ul4%3D,"인스타 이벤트&알림 댓글만 1000건이상!!
풍성한 폭스퍼 트리밍으로 우아한 분위기
가볍고 따스한 덕다운 충전재로 한겨울 내내!
(2color / M,L)",,148000,118000,20,32,"rgb(247, 245, 240);, rgb(0, 0, 0);",점퍼
[MADE] 오블리크 스퀘어 퀼팅 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62525&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bm1%2FW19H,"샘플 나오자마자 교복처럼 입고 다닌 보금언니 그 패딩
가장 편하게 입기 좋은 4온스에 3줄 스티치로 완성도 높은!
(2color)",,,79500,,35,"rgb(83, 89, 65);, rgb(0, 0, 0);",점퍼
하이넥 볼륨 구스패딩 점퍼,https://www.joamom.co.kr/shop/shopdetail.html?branduid=62334&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=bW53Ulg%3D,"구스100%★ 이 가격이 정말이야?
고급미 가득한 패딩 지금 바로 겟!
(3color)",,139000,55000,60,19,"rgb(245, 245, 245);, rgb(199, 199, 199);, rgb(0, 0, 0);",점퍼
리얼 폭스퍼 벨티드 덕다운 패딩,https://www.joamom.co.kr/shop/shopdetail.html?branduid=61405&xcode=067&mcode=001&scode=&type=X&sort=manual&cur_code=067001&search=&GfDT=am53Ulk%3D,"덕다운100%,촤르르하게 윤기나는 풍성한 리얼 폭스퍼
고급스러운 프리미엄 롱 패딩!
(2color)",,,270000,,5,"rgb(203, 198, 193);, rgb(0, 0, 0);",점퍼
