상품명,상품URL,이미지URL,가격,색상,품절여부,좋아요수,카테고리_대분류,카테고리_소분류,카테고리_전체
[무료배송] 루미 봄 루즈핏 코튼 청자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EB%A3%A8%EB%AF%B8-%EB%B4%84-%EB%A3%A8%EC%A6%88%ED%95%8F-%EC%BD%94%ED%8A%BC-%EC%B2%AD%EC%9E%90%EC%BC%93-2color/4259/category/48/display/1/,https://closhoew.com/web/product/medium/202501/2132b156e240c7f27b83eb43652b563a.webp,27900,"rgb(97, 205, 231), rgb(254, 255, 239)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 원더 카라넥 블루종 레더 자켓 3color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EC%9B%90%EB%8D%94-%EC%B9%B4%EB%9D%BC%EB%84%A5-%EB%B8%94%EB%A3%A8%EC%A2%85-%EB%A0%88%EB%8D%94-%EC%9E%90%EC%BC%93-3color/4249/category/48/display/1/,https://closhoew.com/web/product/medium/202501/2e502f0da9c8dd5979484104fd0fe2f2.webp,44900,"rgb(254, 255, 239), rgb(80, 23, 4), rgb(0, 0, 0)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 데뷰 논페이드 루즈핏 생지 청자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EB%8D%B0%EB%B7%B0-%EB%85%BC%ED%8E%98%EC%9D%B4%EB%93%9C-%EB%A3%A8%EC%A6%88%ED%95%8F-%EC%83%9D%EC%A7%80-%EC%B2%AD%EC%9E%90%EC%BC%93-2color/4243/category/48/display/1/,https://closhoew.com/web/product/medium/202501/93b3125da180f46dfd7bfb1a166c3e0e.webp,30900,"rgb(0, 0, 0), rgb(1, 0, 140)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 애쉬 노카라 금장버튼 자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EC%95%A0%EC%89%AC-%EB%85%B8%EC%B9%B4%EB%9D%BC-%EA%B8%88%EC%9E%A5%EB%B2%84%ED%8A%BC-%EC%9E%90%EC%BC%93-2color/4241/category/48/display/1/,https://closhoew.com/web/product/medium/202501/114c69668460b8554de1a725647707f7.webp,39000,"rgb(215, 177, 112), rgb(169, 169, 169)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 오덴세 울 벨트 하프 코트 3color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EC%98%A4%EB%8D%B4%EC%84%B8-%EC%9A%B8-%EB%B2%A8%ED%8A%B8-%ED%95%98%ED%94%84-%EC%BD%94%ED%8A%B8-3color/4222/category/48/display/1/,https://closhoew.com/web/product/medium/202412/9665242c8f009436774fd03b4ff19081.webp,66900,"rgb(252, 250, 219), rgb(240, 236, 175), rgb(0, 0, 0)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 코머로 테일러 양털안감 스웨이드 자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EC%BD%94%EB%A8%B8%EB%A1%9C-%ED%85%8C%EC%9D%BC%EB%9F%AC-%EC%96%91%ED%84%B8%EC%95%88%EA%B0%90-%EC%8A%A4%EC%9B%A8%EC%9D%B4%EB%93%9C-%EC%9E%90%EC%BC%93-2color/4214/category/48/display/1/,https://closhoew.com/web/product/medium/202412/fa48b7b64569369f9720464314f7f755.webp,66900,"rgb(215, 177, 112), rgb(96, 52, 23)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 크림 양털 하이넥 무스탕 버클 퍼 스웨이드 자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%ED%81%AC%EB%A6%BC-%EC%96%91%ED%84%B8-%ED%95%98%EC%9D%B4%EB%84%A5-%EB%AC%B4%EC%8A%A4%ED%83%95-%EB%B2%84%ED%81%B4-%ED%8D%BC-%EC%8A%A4%EC%9B%A8%EC%9D%B4%EB%93%9C-%EC%9E%90%EC%BC%93-2color/4202/category/48/display/1/,https://closhoew.com/web/product/medium/202411/726cd555bfa122f79503f532c297ae56.webp,52900,"rgb(118, 0, 22), rgb(96, 52, 23)",True,0,OUTER,자켓,OUTER > 자켓
,,,,,False,0,OUTER,자켓,OUTER > 자켓
[무료배송] 바이젠 코듀로이 카라 패딩 워크 자켓 2color,https://closhoew.com/product/%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1-%EB%B0%94%EC%9D%B4%EC%A0%A0-%EC%BD%94%EB%93%80%EB%A1%9C%EC%9D%B4-%EC%B9%B4%EB%9D%BC-%ED%8C%A8%EB%94%A9-%EC%9B%8C%ED%81%AC-%EC%9E%90%EC%BC%93-2color/4190/category/48/display/1/,https://closhoew.com/web/product/medium/202411/23ce7398ab5d71331d5abb327f0160fd.webp,37900,"rgb(86, 117, 76), rgb(215, 177, 112)",True,0,OUTER,자켓,OUTER > 자켓
