상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,판매수량,카테고리_대분류,카테고리_소분류,카테고리_전체
[1+1][made][2종택1]촉촉탱글 비스코스 스판티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510779&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bm5%2FW15C,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037412.gif?1730290484,39600,35700,10,158,,0,TOP,무지티,TOP > 무지티
웨일 스판U넥티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504056&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bmx1W15D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070035012.gif?1679534782,,11800,,36,"아이보리,크림, 옐로우, 라임, 블랙",0,TOP,무지티,TOP > 무지티
파브 커브 라인 긴팔 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512521&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=Z253U1Q%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037902.jpg?1743671296,,27000,,0,"화이트, 그레이, 블랙",0,TOP,무지티,TOP > 무지티
익스플로 남여공용 빈티지 오버핏 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512425&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=am93U1U%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037832.jpg?1742467969,,29800,,3,"아이보리,크림, 베이지, 블랙",0,TOP,무지티,TOP > 무지티
포카인 언발 절개 슬릿 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=512424&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=Z2t3Ulw%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070037822.gif?1742467750,,39800,,2,"화이트, 연카키",0,TOP,무지티,TOP > 무지티
버몬트 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=507951&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=Z2x3Ul0%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070035422.gif?1692158864,,24800,,567,"화이트, 베이지, 브라운, 블랙",0,TOP,무지티,TOP > 무지티
[made]코튼쫀득 스판티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=506720&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=Zmh3Ul4%3D,반팔or긴팔,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070034622.gif?1690875973,,18000,,59,"아이보리,크림, 옐로우, 핑크, 연카키, 블랙",0,TOP,무지티,TOP > 무지티
[made]린컨레이 비스코스 배색 레이어드 브이넥 티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=510300&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bml3Ul8%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070036402.gif?1713516382,,22000,,50,"화이트, 카키, 블랙",0,TOP,무지티,TOP > 무지티
시즈민 러플티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504608&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=bmp9W19A,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070033792.gif?1655284798,,17800,,65,"아이보리,크림, 베이지, 블랙",0,TOP,무지티,TOP > 무지티
폴인미 퍼프소매티셔츠,https://www.chicfox.co.kr/shop/shopdetail.html?branduid=504405&xcode=001&mcode=007&scode=&type=X&sort=manual&cur_code=001007&search=&GfDT=aGx3Ulk%3D,,//cdn4-aka.makeshop.co.kr/shopimages/chicfox/0010070033702.gif?1653296319,,14800,,6,"화이트, 블랙",0,TOP,무지티,TOP > 무지티
