상품명,상품URL,상품설명,이미지URL,정가,판매가,할인율,리뷰수,색상,카테고리_대분류,카테고리_소분류,카테고리_전체
,https://baddiary.com/product/%EB%B0%B0%EC%83%89-%EC%81%98%EB%9D%A0-%ED%83%80%EC%9D%B4-%EB%B0%98%ED%8C%94-%EB%8B%88%ED%8A%B8%EB%AC%B4%EC%A7%80%EC%8A%A4%ED%8A%B8%EB%9D%BC%EC%9D%B4%ED%94%84/28182/category/36/display/1/,,https://baddiary.com/web/product/tiny/202504/1225403d1e0b6388383ef6e6b9641a60.webp,,,,0,"rgb(0, 0, 0);, rgb(254, 255, 239);",BEST,,BEST
,https://baddiary.com/product/made-%EC%8A%AC%EB%A6%BC-h-%EC%8A%A4%EC%BB%A4%ED%8A%B8%EA%B8%B0%EB%B3%B8%EB%A1%B1sl/17534/category/36/display/1/,,https://baddiary.com/web/product/tiny/202502/16d2850f7b6c7b127375c89bc4f6587c.webp,,,,0,"rgb(254, 255, 239);, rgb(219, 211, 168);, rgb(128, 118, 67);, rgb(0, 0, 0);",BEST,,BEST
,https://baddiary.com/product/%ED%8B%B4%ED%8A%B8-%ED%8D%BC%ED%94%84-%EB%B0%98%ED%8C%94-%EB%8B%88%ED%8A%B8/28144/category/36/display/1/,,https://baddiary.com/web/product/tiny/202503/4c62c81ffcf29dbeb5abdd5f8828cec9.webp,,,,0,"rgb(254, 255, 239);, rgb(254, 192, 203);, rgb(194, 15, 10);, rgb(0, 0, 0);",BEST,,BEST
,https://baddiary.com/product/soft-ver-%EC%8B%9C%EC%A6%88%EC%B9%B4-%ED%95%80%ED%84%B1-%EC%8A%A4%EC%BB%A4%ED%8A%B8/28027/category/36/display/1/,,https://baddiary.com/web/product/tiny/202502/1c8c94b5e9be896145278f511934295e.webp,,,,0,"rgb(0, 0, 0);, rgb(28, 31, 82);, rgb(227, 209, 173);",BEST,,BEST
,https://baddiary.com/product/%EC%8A%A4%ED%8A%B8%EB%9D%BC%EC%9D%B4%ED%94%84-%EC%84%B8%EB%9D%BC-%EC%B9%B4%EB%9D%BC-%EB%8B%88%ED%8A%B8/23587/category/36/display/1/,,https://baddiary.com/web/product/tiny/202306/7a45eca7a63323c35ad59dca3274dd4d.webp,,,,0,"rgb(0, 0, 0);, rgb(255, 255, 255);",BEST,,BEST
,https://baddiary.com/product/%EC%A7%80%EB%89%B4-%EB%B8%8C%EC%9D%B4-%EB%B8%94%EB%9D%BC%EC%9A%B0%EC%8A%A4fl/18551/category/36/display/1/,,https://baddiary.com/web/product/tiny/202303/6f39daff85d00994afe182c370b3eb49.webp,,,,0,"rgb(254, 255, 239);, rgb(215, 177, 112);, rgb(254, 192, 203);, rgb(0, 0, 253);, rgb(0, 0, 0);",BEST,,BEST
,https://baddiary.com/product/made-%EB%8B%A4%EC%9D%B4%EB%8B%9D-%EB%A1%B1-%EC%9B%90%ED%94%BC%EC%8A%A4sl%EB%B2%A8%ED%8A%B8%EC%A6%9D%EC%A0%95/28117/category/36/display/1/,,https://baddiary.com/web/product/tiny/202503/1184c8691264b43a576b0a94c7702bd1.webp,,,,0,"rgb(204, 204, 171);, rgb(29, 37, 77);",BEST,,BEST
,https://baddiary.com/product/%EB%B0%98%EC%86%8C%EB%A7%A4-%EC%9C%A0%EB%AF%B8-%EB%A0%88%EC%9D%B4%EC%8A%A4-%EB%B8%94%EB%9D%BC%EC%9A%B0%EC%8A%A4/15899/category/36/display/1/,,https://baddiary.com/web/product/tiny/202305/98f5b01be8faab3a604d5f2185cbd14d.jpg,,,,0,"rgb(0, 0, 0);, rgb(215, 177, 112);, rgb(254, 255, 239);, rgb(254, 192, 203);",BEST,,BEST
,https://baddiary.com/product/%EB%85%B8%EB%A7%88%EB%A0%88-%ED%8C%A8%ED%84%B4-%EC%85%94%EC%B8%A0-%EC%9B%90%ED%94%BC%EC%8A%A4%EB%B2%A8%ED%8A%B8%EC%A6%9D%EC%A0%95/28194/category/36/display/1/,,https://baddiary.com/web/product/tiny/202504/35d9b3948cde3758a5579e7bcc829a04.webp,,,,0,"rgb(168, 185, 224);",BEST,,BEST
,https://baddiary.com/product/11-%EA%B8%B0%ED%9A%8D-25-%ED%8D%BC%ED%94%84-%EC%8A%A4%ED%80%98%EC%96%B4-%EB%B0%98%ED%8C%94-%EB%B8%94%EB%9D%BC%EC%9A%B0%EC%8A%A4/26142/category/36/display/1/,,https://baddiary.com/web/product/tiny/202404/35540e65ca3eaf0ac6d6eef9c027bc14.webp,,,,0,,BEST,,BEST
,https://baddiary.com/product/%EC%94%A8%EC%97%98-%EB%8B%88%ED%8A%B8-%EA%B0%80%EB%94%94%EA%B1%B4%EB%82%98%EC%8B%9C-%EC%9B%90%ED%94%BC%EC%8A%A4-%ED%88%AC%ED%94%BC%EC%8A%A4-%EC%84%B8%ED%8A%B8/28197/category/36/display/1/,,https://baddiary.com/web/product/tiny/202504/fb6afbd97dd5ab5385730c39079e2986.webp,,,,0,"rgb(0, 0, 0);, rgb(226, 204, 165);",BEST,,BEST
,https://baddiary.com/product/made-%EB%A5%B4%EC%83%A4%ED%86%A0-%EB%B2%84%ED%8A%BC-%EC%9B%90%ED%94%BC%EC%8A%A4sl/28108/category/36/display/1/,,https://baddiary.com/web/product/tiny/202503/9681b07c586d33840fe1510fe0a73436.webp,,,,0,"rgb(0, 0, 0);",BEST,,BEST
,https://baddiary.com/product/%EB%9D%BC%EB%9D%BC-%EC%85%94%EB%A7%81-%EB%B8%94%EB%9D%BC%EC%9A%B0%EC%8A%A4/26082/category/36/display/1/,,https://baddiary.com/web/product/tiny/202404/3e9f761b31a5dbb7f2d21192acca550f.webp,,,,0,"rgb(171, 194, 138);, rgb(254, 255, 239);, rgb(214, 105, 105);",BEST,,BEST
,https://baddiary.com/product/%EB%A3%A8%EC%94%A8-%EB%B2%84%ED%8A%BC-%EB%A1%B1-%EC%8A%A4%EC%BB%A4%ED%8A%B8/25962/category/36/display/1/,,https://baddiary.com/web/product/tiny/202403/cf3e1687cd7d1b1c2ac34509d8db664e.webp,,,,0,"rgb(230, 35, 0);, rgb(149, 199, 157);, rgb(211, 173, 219);, rgb(254, 255, 239);",BEST,,BEST
,https://baddiary.com/product/%EC%97%90%EB%94%94%ED%8A%B8-%EB%B0%98%ED%8C%94-%EB%8B%88%ED%8A%B8%EA%B0%80%EB%94%94%EA%B1%B4-%EC%84%B8%ED%8A%B8/28169/category/36/display/1/,,https://baddiary.com/web/product/tiny/202504/5a1356bfd4866888b1ef3f315b7fa7c5.webp,,,,0,"rgb(0, 0, 0);, rgb(0, 0, 130);, rgb(207, 184, 159);, rgb(194, 15, 10);, rgb(254, 255, 239);",BEST,,BEST
,https://baddiary.com/product/%EC%A7%80%EB%8B%88%EC%95%84-%ED%94%8C%EB%9D%BC%EC%9B%8C-%ED%8C%A8%ED%84%B4-%EC%8A%A4%EC%BB%A4%ED%8A%B8/28198/category/36/display/1/,,https://baddiary.com/web/product/tiny/202504/696fea983af8a609512fba909b8bc14d.webp,,,,0,"rgb(254, 255, 239);",BEST,,BEST
,https://baddiary.com/product/%ED%8C%85%EC%BB%A4-%EB%B6%80%ED%81%B4-%EB%8B%88%ED%8A%B8-%EA%B0%80%EB%94%94%EA%B1%B4/26084/category/36/display/1/,,https://baddiary.com/web/product/tiny/202404/c5f1da800db20ee2cff944b150fd7d9b.webp,,,,0,"rgb(0, 0, 0);, rgb(253, 235, 0);, rgb(144, 232, 201);, rgb(242, 206, 164);, rgb(137, 190, 250);, rgb(254, 255, 239);, rgb(254, 192, 203);",BEST,,BEST
,https://baddiary.com/product/%EC%85%94%EC%B8%A0-%EB%8D%B0%EB%8B%98-%EB%A1%B1-%EC%9B%90%ED%94%BC%EC%8A%A4%EB%B2%A8%ED%8A%B8%EC%A6%9D%EC%A0%95/26067/category/36/display/1/,,https://baddiary.com/web/product/tiny/202404/f54c14c8e6b8533c11a5765285a761d0.webp,,,,0,"rgb(97, 205, 231);, rgb(1, 0, 140);",BEST,,BEST
,https://baddiary.com/product/%EA%BE%B8%EC%95%88%EA%BE%B8-%EB%82%98%EC%8B%9C%EA%B0%80%EB%94%94%EA%B1%B4%ED%8C%AC%EC%B8%A0-%EC%84%B8%ED%8A%B8/26264/category/36/display/1/,,https://baddiary.com/web/product/tiny/202405/21414ff7fce0dd5d00268e6ef203e0aa.gif,,,,0,"rgb(217, 207, 178);, rgb(0, 0, 0);",BEST,,BEST
,https://baddiary.com/product/made-ss-%EC%88%84%EC%B9%B4%EB%9D%BC-%ED%94%8C%EB%A0%88%EC%96%B4-%EC%9B%90%ED%94%BC%EC%8A%A4sl%EB%B2%A8%ED%8A%B8%EC%A6%9D%EC%A0%95/23581/category/36/display/1/,,https://baddiary.com/web/product/tiny/202503/ba1f9af2e96da375d2d25cf278c1e4bb.webp,,,,0,"rgb(247, 231, 215);, rgb(0, 0, 0);",BEST,,BEST
,https://baddiary.com/product/%EC%84%B8%EB%A0%8C-%EB%82%98%EC%8B%9C-%EB%8B%88%ED%8A%B8-%EB%A1%B1-%EC%9B%90%ED%94%BC%EC%8A%A4/28191/category/36/display/1/,,https://baddiary.com/web/product/tiny/202504/575d2954c673ae675e04ba32aa38a35c.webp,,,,0,"rgb(254, 255, 239);, rgb(173, 160, 138);, rgb(0, 0, 0);",BEST,,BEST
,https://baddiary.com/product/made-%EC%95%84%ED%8B%B8%EB%A5%B4-%EB%A0%88%EC%9D%B4%EC%8A%A4-%EC%9B%90%ED%94%BC%EC%8A%A4%EA%B8%B0%EB%B3%B8%EA%B8%B0%EB%AA%A8sl/26519/category/36/display/1/,,https://baddiary.com/web/product/tiny/202410/d106704dc077158bcd191d8757e97d4e.webp,,,,0,"rgb(10, 10, 10);",BEST,,BEST
